Municipality,Population,Surface_km2,Latitude,Longitude
Ilbono,1977.0,31.13,39.892654,9.548945
Illorai,760.0,57.19,40.353858,9.001027
Irgoli,2220.0,75.3,40.4088328,9.6301207
Isili,2516.0,67.84,39.7404048,9.1085903
Ittireddu,481.0,23.69,40.543961,8.902322
Ittiri,8069.0,111.46,40.5923312,8.5688952
Jerzu,3034.0,102.61,39.791151,9.518445
La Maddalena,10617.0,52.01,41.2127826,9.4066598
Laconi,1673.0,124.75,39.852649,9.050435
Laerru,859.0,19.85,40.817065,8.835417
Lanusei,5064.0,53.17,39.8792127,9.5411469
Las Plassas,215.0,11.04,39.680145,8.984936
Lei,466.0,19.11,40.3044005,8.9180375
Loceri,1272.0,19.37,39.8566346,9.5822088
Loculi,507.0,38.15,40.4072775,9.6111604
Lodine,306.0,7.7,40.1480795,9.2182943
Lodè,1606.0,123.45,40.5913866,9.5397954
Loiri Porto San Paolo,3641.0,118.52,40.8763052,9.6294901
Lotzorai,2093.0,16.87,39.9691548,9.6637148
Lula,1263.0,148.72,40.470364,9.486435
Lunamatrona,1634.0,20.59,39.650544,8.899335
Luogosanto,1807.0,135.07,41.0545638,9.2046754
Luras,2429.0,87.59,40.9348579,9.1754471
Macomer,9410.0,122.77,40.2651904,8.7813868
Magomadas,582.0,9.02,40.264752,8.522719
Mamoiada,2404.0,48.83,40.215657,9.280435
Mandas,2009.0,45.02,39.6562834,9.1297852
Mara,525.0,18.64,40.409556,8.638819
Maracalagonis,7873.0,101.37,39.28534,9.229446
Marrubiu,4609.0,61.24,39.752143,8.637228
Martis,471.0,22.96,40.778664,8.808117
Masainas,1217.0,23.69,39.0516236,8.6305978
Masullas,1011.0,18.68,39.6995595,8.7827237
Meana Sardo,1602.0,73.8,39.944251,9.072334
Milis,1423.0,18.67,40.050449,8.637024
Modolo,156.0,2.47,40.2750467,8.5291795
Mogorella,410.0,17.06,39.8645981,8.8579312
Mogoro,3941.0,48.99,39.6847105,8.7770879
Monastir,4432.0,31.79,39.38474,9.044841
Monserrato,19037.0,6.43,39.2539413,9.1432062
Monteleone Rocca Doria,109.0,13.39,40.4716215,8.5602991
Monti,2331.0,123.82,40.805969,9.325527
Montresta,438.0,31.16,40.3737726,8.4996108
Mores,1747.0,94.86,40.54836,8.831221
Morgongiori,660.0,45.2,39.746644,8.770131
Muravera,5131.0,93.51,39.420945,9.573551
Muros,829.0,11.23,40.678061,8.617315
Musei,1491.0,20.27,39.302285,8.6674064
Narbolia,1690.0,40.5,40.0476498,8.5751691
Narcao,3089.0,85.88,39.1681654,8.6747138
Neoneli,622.0,48.01,40.064752,8.94673
Noragugume,286.0,26.73,40.224555,8.920727
Norbello,1115.0,26.18,40.134752,8.832027
Nughedu San Nicolò,763.0,67.89,40.5565081,9.021463
Nughedu Santa Vittoria,441.0,28.57,40.1020753,8.953508
Nule,1276.0,51.95,40.461561,9.189829
Nulvi,2634.0,67.38,40.783764,8.743716
Nuoro,197003.0,5638,40.12765935,9.342383344552438
Nurachi,1677.0,15.97,39.9733936,8.5401647
Nuragus,841.0,19.9,39.776247,9.038136
Nurallao,1167.0,34.76,39.7902781,9.0807366
Nuraminis,2317.0,45.18,39.442941,9.01474
Nureci,319.0,12.87,39.823348,8.973834
Nurri,2025.0,73.67,39.712048,9.229841
Nuxis,1434.0,61.59,39.152933,8.738139
Olbia,60385.0,383.64,40.9232659,9.5027442
Oliena,6640.0,165.74,40.27226,9.403036
Ollastra,1131.0,21.47,39.950948,8.734227
Ollolai,1190.0,27.24,40.168503,9.178467
Olmedo,4113.0,33.47,40.651558,8.38021
Olzai,770.0,69.82,40.182856,9.148332
Onanì,371.0,71.97,40.4853258,9.441168
Onifai,696.0,43.19,40.406964,9.651339
Oniferi,873.0,35.67,40.271958,9.170332
Orani,2706.0,130.43,40.250174,9.1798549
Orgosolo,3950.0,222.6,40.204758,9.354936
Oristano,30541.0,84.57,40.02656765,8.679641647435716
Orosei,6765.0,91.0,40.3791803,9.6950141
Orotelli,1894.0,61.18,40.3058025,9.1128378
Orroli,2012.0,75.59,39.693547,9.250341
Ortacesus,881.0,23.63,39.5391475,9.0835262
Ortueri,1044.0,38.83,40.0356425,8.9872498
Orune,2150.0,128.45,40.4075949,9.3697392
Oschiri,3037.0,215.61,40.719766,9.101024
Osidda,219.0,25.68,40.523863,9.219329
Osilo,2826.0,98.03,40.744063,8.671115
Osini,725.0,39.81,39.822752,9.496244
Ossi,5462.0,30.09,40.67486,8.591714
Ottana,2195.0,45.07,40.2334988,9.0445989
Ovodda,1521.0,40.85,40.095654,9.162334
Ozieri,9857.0,252.13,40.5859373,9.0010431
Pabillonis,2510.0,37.42,39.5911591,8.7209531
Padria,603.0,48.39,40.396355,8.629919
Padru,2040.0,158.0,40.76577,9.520232
Palau,4034.0,44.44,41.1810758,9.3820424
Palmas Arborea,1475.0,38.73,39.8768395,8.6424779
Pattada,2880.0,164.88,40.581763,9.112926
Pau,276.0,13.82,39.791546,8.802331
Pauli Arbarei,565.0,15.14,39.660744,8.922035
Paulilatino,2087.0,103.85,40.0840316,8.7639366
Perdasdefogu,1751.0,77.75,39.6792178,9.4400494
Perdaxius,1310.0,29.5,39.161033,8.611436
Perfugas,2234.0,60.88,40.833366,8.882818
Pimentel,1126.0,14.97,39.485542,9.06554
Piscinas,816.0,16.89,39.074431,8.665938
Ploaghe,4348.0,96.27,40.664262,8.741817
Pompu,215.0,5.32,39.724544,8.795432
Porto Torres,21224.0,104.41,40.8370333,8.4013292
Portoscuso,4859.0,38.09,39.207031,8.380931
Posada,2974.0,32.77,40.631969,9.716437
Pozzomaggiore,2399.0,78.77,40.398756,8.660219
Pula,7054.0,138.92,39.007433,9.001646
Putifigari,694.0,53.1,40.562257,8.461113
Quartu Sant'Elena,68430.0,96.41,39.2399728,9.1880967
Quartucciu,12756.0,27.93,39.254139,9.178846
Riola Sardo,2015.0,48.11,39.9941018,8.5386732
Romana,496.0,21.6,40.484057,8.587417
Ruinas,619.0,30.46,39.907148,8.897631
Sadali,867.0,49.61,39.81325,9.27194
Sagama,191.0,11.72,40.261552,8.57752
Samassi,4817.0,42.04,39.481341,8.907637
Samatzai,1555.0,31.16,39.483242,9.03464
Samugheo,2760.0,81.28,39.94615,8.940532
San Basilio,1132.0,44.63,39.537144,9.198242
San Gavino Monreale,8119.0,87.4,39.550941,8.791934
San Giovanni Suergiu,5673.0,72.37,39.1104039,8.5219989
San Nicolò Gerrei,717.0,63.52,39.497444,9.307145
San Nicolò d'Arcidano,2516.0,28.36,39.6833916,8.6468751
San Sperate,8352.0,26.24,39.358739,9.006741
San Teodoro,4941.0,107.6,40.7716378,9.6704225
San Vero Milis,2416.0,72.48,40.014548,8.598224
San Vito,3436.0,231.64,39.443245,9.540751
Sanluri,8112.0,84.23,39.562642,8.898636
Sant'Andrea Frius,1709.0,36.16,39.4778583,9.1702544
Sant'Anna Arresi,2628.0,36.68,39.00183,8.646339
Sant'Antioco,10670.0,87.9,39.0648291,8.4562962
Sant'Antonio di Gallura,1438.0,81.69,40.9916247,9.3011094
Santa Giusta,4649.0,69.22,39.8781783,8.6099732
Santa Maria Coghinas,1292.0,22.97,40.904267,8.868616
Santa Teresa Gallura,4969.0,102.29,41.241377,9.188518
Santadi,3156.0,116.49,39.091832,8.716439
Santu Lussurgiu,2215.0,99.8,40.1416861,8.651038
Sardara,3824.0,56.23,39.616442,8.820634
Sarroch,5033.0,67.83,39.0655592,9.0108295
Sarule,1568.0,52.72,40.2291198,9.1673423
Sassari,121657.0,547.04,40.7778499,8.9219725134863
Scano di Montiferro,1407.0,60.47,40.2163299,8.584092
Sedilo,1975.0,68.45,40.1731514,8.9191225
Sedini,1245.0,40.51,40.852266,8.815716
Segariu,1099.0,16.69,39.564443,8.981638
Selargius,28501.0,26.67,39.2569736,9.167555
Selegas,1292.0,20.39,39.567844,9.10414
Semestene,142.0,39.58,40.398456,8.725421
Seneghe,1676.0,57.85,40.082249,8.615723
Senis,421.0,16.06,39.824147,8.940033
Sennariolo,154.0,15.61,40.2126731,8.5551782
Sennori,6910.0,31.34,40.7894457,8.5916589
Senorbì,4729.0,34.29,39.535044,9.130141
Serdiana,2647.0,55.71,39.374241,9.158944
Serramanna,8614.0,83.84,39.42404,8.923138
Serrenti,4557.0,42.78,39.4927706,8.9752276
Serri,630.0,19.18,39.701747,9.144139
Sestu,20676.0,48.29,39.2999356,9.0925928
Settimo San Pietro,6839.0,23.29,39.29174,9.185145
Setzu,133.0,7.77,39.722945,8.939235
Seui,1178.0,148.21,39.840564,9.3212295
Seulo,795.0,58.79,39.8704122,9.2357358
Siamaggiore,884.0,13.17,39.950147,8.636025
Siamanna,772.0,28.36,39.920782,8.7610449
Siapiccia,344.0,17.93,39.927948,8.762128
Siddi,596.0,11.02,39.6721984,8.8883714
Silanus,2005.0,47.94,40.2888641,8.890493
Siligo,811.0,43.45,40.5764803,8.727273
Siliqua,3586.0,189.85,39.300237,8.808738
Silius,1060.0,38.36,39.516745,9.293545
Simala,283.0,13.38,39.721644,8.826732
Simaxis,2124.0,27.82,39.930347,8.692127
Sindia,1605.0,58.57,40.2962162,8.6562562
Sini,481.0,8.75,39.754146,8.904334
Siniscola,11159.0,196.38,40.5731874,9.693975
Sinnai,17172.0,223.91,39.3042403,9.2035381
Siris,222.0,6.0,39.712644,8.774832
Siurgus Donigala,1831.0,76.39,39.600345,9.189041
Soddì,120.0,5.24,40.130453,8.878428
Solarussa,2288.0,31.86,39.955747,8.671526
Soleminis,1840.0,12.79,39.3479629,9.1817083
Sorgono,1515.0,56.05,40.025952,9.102034
Sorradile,353.0,26.34,40.106453,8.933029
Sorso,14383.0,67.01,40.7965949,8.5778501
Stintino,1535.0,59.04,40.939162,8.225503
Suelli,1071.0,19.2,39.562744,9.132141
Suni,975.0,47.46,40.280853,8.549419
Tadasuni,141.0,5.09,40.1104579,8.8837442
Talana,963.0,118.68,40.042056,9.496541
Telti,2222.0,83.25,40.876371,9.352827
Tempio Pausania,13278.0,210.82,40.8973821,9.1035159
Tergu,605.0,36.88,40.867465,8.716714
Terralba,9689.0,49.8,39.7203011,8.6361253
Tertenia,3801.0,117.65,39.6967569,9.5776838
Teti,612.0,43.91,40.095754,9.118133
Teulada,3293.0,246.19,38.96743,8.772242
Thiesi,2796.0,42.67,40.524859,8.716419
Tiana,444.0,19.32,40.068454,9.147334
Tinnura,238.0,3.85,40.2690518,8.5482204
